CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,STANDARD_CONCEPT,CONCEPT_CODE,TOTAL_ROWS,DISTINCT_PERSONS,FIRST_DATE,LAST_DATE
4042424.0,Splint,Device,SNOMED,Physical Object,S,16650009,686,653,2009-12-28,2026-01-28
2719795.0,Heel wedge,Device,HCPCS,HCPCS,S,L3350,677,662,2011-02-02,2025-10-07
2720470.0,"Patient programmer (external) for use with implantable programmable neurostimulator pulse generator, replacement only",Device,HCPCS,HCPCS,S,L8681,661,626,2010-06-01,2023-03-16
2719892.0,"Hand finger orthosis, without joints, may include soft interface, straps, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L3924,655,628,2014-09-04,2026-02-11
2719510.0,"Halo procedure, cervical halo incorporated into jacket vest",Device,HCPCS,HCPCS,S,L0810,654,652,2010-01-27,2026-02-03
44786593.0,"Wrist hand finger orthosis, without joint(s), prefabricated, off-the-shelf, any type",Device,HCPCS,HCPCS,S,L3809,648,632,2014-07-09,2026-02-11
2720160.0,"All lower extremity prostheses, multi-axial rotation unit ('mcp' or equal)",Device,HCPCS,HCPCS,S,L5986,635,529,2010-02-04,2026-01-29
2615286.0,"Tracheostomy/laryngectomy tube, non-cuffed, polyvinylchloride (pvc), silicone or equal, each",Device,HCPCS,HCPCS,S,A7520,625,347,2010-01-11,2026-02-11
800998.0,"Piflufolastat f-18, diagnostic, 1 millicurie",Device,HCPCS,HCPCS,S,A9595,607,549,2022-11-02,2026-02-13
2720428.0,"Prosthetic sock, single ply, fitting, above knee, each",Device,HCPCS,HCPCS,S,L8480,590,344,2010-03-03,2026-02-16
2719833.0,"Shoulder orthosis, acromio/clavicular (canvas and webbing type), prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L3670,586,574,2009-11-18,2026-02-02
2720091.0,"Replacement, socket, below knee, molded to patient model",Device,HCPCS,HCPCS,S,L5700,585,354,2010-04-28,2026-02-05
2615319.0,"Foot pressure off loading/supportive device, any type, each",Device,HCPCS,HCPCS,S,A9283,558,537,2010-07-26,2025-05-14
2720047.0,"Additions to lower extremity, total contact, above knee or knee disarticulation socket",Device,HCPCS,HCPCS,S,L5650,545,334,2010-03-03,2026-02-16
2720048.0,"Addition to lower extremity, above knee, flexible inner socket, external frame",Device,HCPCS,HCPCS,S,L5651,540,325,2010-03-22,2026-02-16
2719576.0,"Hip orthosis, abduction control of hip joint, postoperative hip abduction type, prefabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L1686,535,462,2009-12-11,2026-02-03
