SOURCE_VALUE,SOURCE_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_NAME,MAPPED_STANDARD_VOCABULARY_ID,MAPPED_STANDARD_CONCEPT_CODE,MAPPED_STANDARD_CONCEPT_FLAG,TOTAL_ROWS
788-0,3019897,3019897,Erythrocyte distribution width [Ratio] by Automated count,LOINC,788-0,S,9224796
32623-1,3043111,3043111,Platelet mean volume [Entitic volume] in Blood by Automated count,LOINC,32623-1,S,9224254
20058-4,3026280,3026280,Airway pressure Ventilator --at peak inspiratory flow setting,LOINC,20058-4,S,9068259
41653-7,3034962,3034962,Glucose [Mass/volume] in Capillary blood by Glucometer,LOINC,41653-7,S,8231759
8954-0,3016222,3016222,Fluid intake enteral tube 1 hour,LOINC,8954-0,S,8023545
8953-2,3010494,3010494,Fluid intake enteral tube Measured,LOINC,8953-2,S,7950065
19834-1,3007469,3007469,Breath rate setting Ventilator,LOINC,19834-1,S,7744706
79551-8,21491175,21491175,Number of stools,LOINC,79551-8,S,7387293
736-9,3037511,3037511,Lymphocytes/100 leukocytes in Blood by Automated count,LOINC,736-9,S,7386009
2951-2,3019550,3019550,Sodium [Moles/volume] in Serum or Plasma,LOINC,2951-2,S,7371772
770-8,3008342,3008342,Neutrophils/100 leukocytes in Blood by Automated count,LOINC,770-8,S,7337888
50957-0,3030494,3030494,Manual differential performed [Presence] in Blood,LOINC,50957-0,S,7334384
5905-5,3011948,3011948,Monocytes/100 leukocytes in Blood by Automated count,LOINC,5905-5,S,7307061
2823-3,3023103,3023103,Potassium [Moles/volume] in Serum or Plasma,LOINC,2823-3,S,7303750
706-2,3013869,3013869,Basophils/100 leukocytes in Blood by Automated count,LOINC,706-2,S,6898636
76222-9,21490854,21490854,Tidal volume Ventilator --on ventilator,LOINC,76222-9,S,6769516
751-8,3013650,3013650,Neutrophils [#/volume] in Blood by Automated count,LOINC,751-8,S,6768465
79550-0,21491174,21491174,Number of voids,LOINC,79550-0,S,6763522
713-8,3010457,3010457,Eosinophils/100 leukocytes in Blood by Automated count,LOINC,713-8,S,6618337
75960-5,21490754,21490754,Inspired minute Volume,LOINC,75960-5,S,6520150
60949-5,42527086,42527086,Mean airway pressure,LOINC,60949-5,S,6189149
20112-9,3012410,3012410,Tidal volume setting Ventilator,LOINC,20112-9,S,6177761
718-7,3000963,3000963,Hemoglobin [Mass/volume] in Blood,LOINC,718-7,S,6081661
777-3,3024929,3024929,Platelets [#/volume] in Blood by Automated count,LOINC,777-3,S,5926143
101973-6,3965290,3965290,Total score (0 to 7),LOINC,101973-6,S,5922313
4544-3,3023314,3023314,Hematocrit [Volume Fraction] of Blood by Automated count,LOINC,4544-3,S,5908027
20570-8,3009542,3009542,Hematocrit [Volume Fraction] of Blood,LOINC,20570-8,S,5688647
19123-9,3001420,3001420,Magnesium [Mass/volume] in Serum or Plasma,LOINC,19123-9,S,5151672
75955-5,21490749,21490749,Temperature Infant microenvironment.incubator,LOINC,75955-5,S,5023448
1751-7,3024561,3024561,Albumin [Mass/volume] in Serum or Plasma,LOINC,1751-7,S,4986692
1975-2,3024128,3024128,Bilirubin.total [Mass/volume] in Serum or Plasma,LOINC,1975-2,S,4348292
1920-8,3013721,3013721,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LOINC,1920-8,S,4248799
6768-6,3035995,3035995,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,LOINC,6768-6,S,4178659
2885-2,3020630,3020630,Protein [Mass/volume] in Serum or Plasma,LOINC,2885-2,S,4127937
1742-6,3006923,3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LOINC,1742-6,S,4040359
6298-4,3005456,3005456,Potassium [Moles/volume] in Blood,LOINC,6298-4,S,3900983
39116-9,3038234,3038234,Drainage amount of Wound,LOINC,39116-9,S,3836872
