ANCESTOR_CONCEPT_ID,ANCESTOR_CONCEPT_NAME,ANCESTOR_DOMAIN_ID,ANCESTOR_VOCABULARY_ID,ANCESTOR_CONCEPT_CLASS_ID,ANCESTOR_STANDARD_CONCEPT,ANCESTOR_CONCEPT_CODE,DESCENDANT_CONCEPTS_PRESENT,TOTAL_ROWS,DISTINCT_PERSONS,FIRST_DATE,LAST_DATE
2719587,"Knee orthosis, elastic with condylar pads and joints, with or without patellar control, prefabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L1820,1,1062,1010,2010-01-13,2026-02-16
2719846,"Elbow orthosis (eo), with adjustable position locking joint(s), prefabricated, item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",Device,HCPCS,HCPCS,S,L3760,1,1050,1019,2010-01-07,2026-02-03
2615083,"For diabetics only, multiple density insert, direct formed, molded to foot after external heat source of 230 degrees fahrenheit or higher, total contact with patient's foot, including arch, base layer minimum of 1/4 inch material of shore a 35 duromete...",Device,HCPCS,HCPCS,S,A5512,1,1049,663,2010-01-27,2026-02-05
2615327,"Thallium tl-201 thallous chloride, diagnostic, per millicurie",Device,HCPCS,HCPCS,S,A9505,1,1042,1011,2009-12-30,2016-12-19
43533268,"Florbetapir f18, diagnostic, per study dose, up to 10 millicuries",Device,HCPCS,HCPCS,S,A9586,1,1035,941,2016-06-10,2026-02-13
2614905,"Pessary, reusable, non rubber, any type",Device,HCPCS,HCPCS,S,A4562,1,993,762,2010-01-05,2026-02-10
2614906,Slings,Device,HCPCS,HCPCS,S,A4565,1,993,978,2009-12-07,2026-01-07
2719744,"Foot, insert/plate, removable, addition to lower extremity orthosis, high strength, lightweight material, all hybrid lamination/prepreg composite, each",Device,HCPCS,HCPCS,S,L3031,1,939,919,2010-11-18,2026-02-13
2720436,"Tracheo-esophageal voice prosthesis, inserted by a licensed health care provider, any type",Device,HCPCS,HCPCS,S,L8509,1,915,212,2010-02-11,2026-02-06
40662243,"Injection, gadoxetate disodium, 1 ml",Device,HCPCS,HCPCS,S,A9581,1,914,685,2010-01-04,2017-02-15
2616482,"Crutches underarm, other than wood, adjustable or fixed, pair, with pads, tips and handgrips",Device,HCPCS,HCPCS,S,E0114,1,873,867,2009-12-07,2026-02-04
2615295,"Helmet, protective, soft, prefabricated, includes all components and accessories",Device,HCPCS,HCPCS,S,A8000,1,828,721,2009-12-30,2026-01-29
2719936,"Upper extremity fracture orthosis, wrist, prefabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3984,1,818,770,2010-06-10,2026-02-05
2615084,"For diabetics only, multiple density insert, custom molded from model of patient's foot, total contact with patient's foot, including arch, base layer minimum of 3/16 inch material of shore a 35 durometer (or higher), includes arch filler and other sha...",Device,HCPCS,HCPCS,S,A5513,1,804,618,2010-07-06,2026-02-13
4134423,Removal of device,Procedure,SNOMED,Procedure,S,128538000,4,799,490,2010-04-28,2026-02-16
4158691,Replacement procedure,Procedure,SNOMED,Procedure,S,373188003,4,799,490,2010-04-28,2026-02-16
4042150,Removal,Procedure,SNOMED,Procedure,S,118292001,4,799,490,2010-04-28,2026-02-16
4297706,Replacement of device,Procedure,SNOMED,Procedure,S,384728007,4,799,490,2010-04-28,2026-02-16
2719988,"Below knee, molded socket, shin, sach foot, endoskeletal system",Device,HCPCS,HCPCS,S,L5301,1,788,622,2010-02-04,2026-01-29
2719621,"Ankle foot orthosis, posterior solid ankle, plastic, custom fabricated",Device,HCPCS,HCPCS,S,L1960,1,788,726,2009-12-29,2026-02-16
2720168,"Lower extremity prosthesis, not otherwise specified",Device,HCPCS,HCPCS,S,L5999,1,785,685,2010-10-22,2026-02-16
4038746,Orthopedic device,Device,SNOMED,Physical Object,S,16349000,22,761,723,1955-06-15,2026-01-28
4120665,Musculoskeletal device,Device,SNOMED,Physical Object,S,303624006,21,750,712,1993-10-06,2026-01-28
